,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
5-22,0.016271999875369286,,,,,,,,,,,,,,,,,,,,
5-23,0.016375618358623657,,,,,,,,,,,,,,,,,,,,
5-24,0.01668393900619466,,,,,,,,,,,,,,,,,,,,
5-25,0.01668827205824876,,,,,,,,,,,,,,,,,,,,
5-26,0.0173650105214442,,,,,,,,,,,,,,,,,,,,
5-27,0.01827270094047049,,,,,,,,,,,,,,,,,,,,
5-28,0.019255837077581734,,,,,,,,,,,,,,,,,,,,
5-29,0.01969569413977344,,,,,,,,,,,,,,,,,,,,
5-30,0.02017707773737157,,,,,,,,,,,,,,,,,,,,
5-31,0.020298720227243553,,,,,,,,,,,,,,,,,,,,
5-32,0.019905560966936953,,,,,,,,,,,,,,,,,,,,
5-33,0.019180427210323696,,,,,,,,,,,,,,,,,,,,
5-34,0.018654856900375515,,,,,,,,,,,,,,,,,,,,
6-7,0.014375570705210328,,,,,,,,,,,,,,,,,,,,
6-8,0.014710537227058852,,,,,,,,,,,,,,,,,,,,
6-9,0.014233477083735648,,,,,,,,,,,,,,,,,,,,
6-10,0.013227024299786193,,,,,,,,,,,,,,,,,,,,
6-11,0.011934196839891047,,,,,,,,,,,,,,,,,,,,
6-12,0.010869158128724974,,,,,,,,,,,,,,,,,,,,
6-13,0.009697182257423463,,,,,,,,,,,,,,,,,,,,
6-14,0.008378415614304927,,,,,,,,,,,,,,,,,,,,
6-15,0.007517469334634109,,,,,,,,,,,,,,,,,,,,
6-16,0.008272155379446354,,,,,,,,,,,,,,,,,,,,
6-17,0.009693702317036689,,,,,,,,,,,,,,,,,,,,
6-18,0.010643642176930777,,,,,,,,,,,,,,,,,,,,
6-19,0.011915829979172848,,,,,,,,,,,,,,,,,,,,
6-20,0.013600778081231828,,,,,,,,,,,,,,,,,,,,
6-21,0.015456942096534594,,,,,,,,,,,,,,,,,,,,
6-22,0.016260379810282492,,,,,,,,,,,,,,,,,,,,
6-23,0.016625556412150164,,,,,,,,,,,,,,,,,,,,
