,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
17-7,,,,,,,,,,,,,,,,,,0.12230394232120753,0.07127768575685256,0.037683567231376024,0.02752712570810183
17-8,,,,,,,,,,,,,,,,,,0.12230972624697248,0.07148338380640987,0.03798636812639651,0.02732412269948034
17-9,,,,,,,,,,,,,,,,,,0.12239026175175789,0.07174823814949192,0.038276788762283846,0.027094592422677522
17-10,,,,,,,,,,,,,,,,,,0.12231741534758456,0.07189447992837167,0.038634232364339716,0.0269336871099702
17-11,,,,,,,,,,,,,,,,,,0.12252967766677883,0.07214436061630139,0.0390689779690659,0.026800429898409105
17-12,,,,,,,,,,,,,,,,,,0.12235967966658809,0.07226556877771505,0.03955248312465002,0.026670011336703447
17-13,,,,,,,,,,,,,,,,,,0.12231415966371577,0.07232446456228595,0.040051053200906496,0.026506416323869093
17-14,,,,,,,,,,,,,,,,,,0.12206496848091627,0.07231649633395859,0.04062699183535023,0.02642484580393411
17-15,,,,,,,,,,,,,,,,,,0.12178684690058551,0.07224010762516828,0.04131940055345179,0.02634905778847085
17-16,,,,,,,,,,,,,,,,,,0.1212398410000087,0.07221323475764724,0.04194589995040757,0.02630810385787358
17-17,,,,,,,,,,,,,,,,,,0.12085609245655769,0.07216427229781765,0.04239563313223136,0.026274613960355457
17-18,,,,,,,,,,,,,,,,,,0.12029618370020606,0.0719345550400331,0.0430696107042561,0.02624632443435001
17-19,,,,,,,,,,,,,,,,,,0.11994756812880644,0.07180255106341084,0.04362410288833166,0.026254849138511175
17-20,,,,,,,,,,,,,,,,,,0.11949613770647902,0.0717390310875283,0.04414910987644587,0.02625404907756961
17-21,,,,,,,,,,,,,,,,,,0.11938612449534912,0.07171451950879465,0.04462336272718477,0.02624322029025672
17-22,,,,,,,,,,,,,,,,,,0.11925773537401901,0.07169788209122162,0.0450515830663271,0.026235056208098278
17-23,,,,,,,,,,,,,,,,,,0.11910963433495073,0.07173070619075776,0.04534129804710271,0.02621974720917478
17-24,,,,,,,,,,,,,,,,,,0.11908317789944362,0.07176035477714006,0.04565576819175669,0.026240113792161065
17-25,,,,,,,,,,,,,,,,,,0.11903362247531536,0.07184869099592701,0.045969719553264524,0.026232691359816124
18-1,,,,,,,,,,,,,,,,,,0.12141439279490311,0.07010860420089399,0.037202714527678336,0.02887249809964975
18-2,,,,,,,,,,,,,,,,,,0.12162211276375988,0.07031621643920537,0.037184644456815144,0.02868151023733207
18-3,,,,,,,,,,,,,,,,,,0.12195133161004963,0.07054146124661956,0.037234767035097927,0.028423272047277435
18-4,,,,,,,,,,,,,,,,,,0.1221971530130173,0.07079216115439162,0.03731360549277451,0.028168099760057845
18-5,,,,,,,,,,,,,,,,,,0.1223830034667048,0.07098212043325582,0.03753213688349777,0.027925206601101517
18-6,,,,,,,,,,,,,,,,,,0.12254038625906993,0.07118190802233616,0.03772517693358802,0.02766610375480693
18-7,,,,,,,,,,,,,,,,,,0.12238807913628948,0.07137944208126673,0.03796080283237619,0.027453237601581967
18-8,,,,,,,,,,,,,,,,,,0.12239012178120307,0.07160710635032358,0.038247962734496474,0.027253837299330962
18-9,,,,,,,,,,,,,,,,,,0.12238192290488228,0.07179105180366742,0.038558820158117395,0.02703385086793375
18-10,,,,,,,,,,,,,,,,,,0.1222944465662857,0.07192727621796773,0.03887457955441571,0.026864043028095298
18-11,,,,,,,,,,,,,,,,,,0.12239921366809817,0.07207326667417975,0.03933002695507239,0.026736697826944787
18-12,,,,,,,,,,,,,,,,,,0.12225134689497359,0.07223826922168118,0.03982574634111824,0.02656369534193802
18-13,,,,,,,,,,,,,,,,,,0.12218523661387953,0.07230014618234636,0.04036634610565464,0.02648970316477206
18-14,,,,,,,,,,,,,,,,,,0.12196835689982788,0.07231747939996304,0.04103890529003425,0.026403612767920536
18-15,,,,,,,,,,,,,,,,,,0.12163840181721555,0.0722464445366948,0.04170803106891565,0.02635213906702809
18-16,,,,,,,,,,,,,,,,,,0.12112906948569115,0.07214928320784852,0.042269161972613156,0.026315272499710496
18-17,,,,,,,,,,,,,,,,,,0.12081245967139081,0.07201021188613221,0.04260392513721536,0.026279097712745482
18-18,,,,,,,,,,,,,,,,,,0.12036796060030934,0.07183881032588052,0.04326117894048685,0.026254150769214495
18-19,,,,,,,,,,,,,,,,,,0.12001523698760282,0.07173800675191978,0.04377834031224432,0.026259991260389644
18-20,,,,,,,,,,,,,,,,,,0.11960810301470934,0.07175082364279703,0.044302702610492024,0.02625281558160419
18-21,,,,,,,,,,,,,,,,,,0.11944925661484214,0.07174772164912203,0.04475633483189864,0.02624776954247426
18-22,,,,,,,,,,,,,,,,,,0.1193248617299917,0.07178130363757611,0.045169512620640215,0.026229158116840515
18-23,,,,,,,,,,,,,,,,,,0.11917395728963479,0.07180056431459657,0.04545748607061238,0.026221782907801555
18-24,,,,,,,,,,,,,,,,,,0.11911703531843444,0.07191939004399306,0.04580743029250388,0.026240739566112562
18-25,,,,,,,,,,,,,,,,,,0.11908667997303303,0.0720116278321758,0.046123500200133276,0.026237085098132988
19-1,,,,,,,,,,,,,,,,,,0.1216138835421865,0.07019642669284692,0.037244886842461876,0.028759585489071666
19-2,,,,,,,,,,,,,,,,,,0.12180941547882161,0.07042443575975653,0.037284859090459685,0.028566471302229
19-3,,,,,,,,,,,,,,,,,,0.12205635645904542,0.07065728604227531,0.037367012859207877,0.028319311628506642
19-4,,,,,,,,,,,,,,,,,,0.12231521538732158,0.07089291762132921,0.03756450476237106,0.028072519586734006
19-5,,,,,,,,,,,,,,,,,,0.12246171909901246,0.07106259401897921,0.03776407680834431,0.027818201861956954
19-6,,,,,,,,,,,,,,,,,,0.12261459144712789,0.07128409815242528,0.037986250905314614,0.02758965158927256
19-7,,,,,,,,,,,,,,,,,,0.12246811968702251,0.07150272430989528,0.038210374692406485,0.027380292351224713
19-8,,,,,,,,,,,,,,,,,,0.12239225488233992,0.07165570327712824,0.03851709464301531,0.027188397188447806
19-9,,,,,,,,,,,,,,,,,,0.12236839288767287,0.07182812890600096,0.0387920297537931,0.026962272688566335
19-10,,,,,,,,,,,,,,,,,,0.12219619933716971,0.07187213451457843,0.03913096459569106,0.026799533692424226
19-11,,,,,,,,,,,,,,,,,,0.12230862440912797,0.072057941006341,0.03959908078304795,0.026631871012085407
19-12,,,,,,,,,,,,,,,,,,0.12214833029620618,0.0722201480858312,0.04013560039149884,0.026543901944226872
19-13,,,,,,,,,,,,,,,,,,0.12210250883374668,0.07230230731498959,0.04076882543401664,0.02646521927492685
19-14,,,,,,,,,,,,,,,,,,0.12183337824312906,0.07231988104353095,0.041420782993511894,0.026402699883826736
19-15,,,,,,,,,,,,,,,,,,0.12152471541113205,0.0721845052234872,0.042026522980165015,0.02635606807430849
19-16,,,,,,,,,,,,,,,,,,0.12107965609521709,0.07200447847230605,0.04247341720745793,0.02631707218323842
19-17,,,,,,,,,,,,,,,,,,0.12085662152774138,0.07191582638329481,0.04280890919630925,0.026284516058412984
19-18,,,,,,,,,,,,,,,,,,0.12041163031551468,0.0717761105026414,0.043425703773699705,0.026258894693556144
19-19,,,,,,,,,,,,,,,,,,0.12009479970721276,0.07174952080089747,0.04394222057989843,0.02625825614613335
19-20,,,,,,,,,,,,,,,,,,0.11965620550198396,0.0717806740391778,0.04444495000036802,0.026256333017684395
19-21,,,,,,,,,,,,,,,,,,0.11950310348903072,0.07182443417435393,0.04488345611486589,0.026241131070086115
19-22,,,,,,,,,,,,,,,,,,0.11937515090174045,0.07184509891868965,0.045288901456900885,0.026230239888249067
19-23,,,,,,,,,,,,,,,,,,0.1192016032728579,0.07194930132367536,0.04561176817143963,0.026222952378745917
19-24,,,,,,,,,,,,,,,,,,0.11916305411855664,0.07207039932776346,0.045961908100362936,0.02624413757485206
19-25,,,,,,,,,,,,,,,,,,0.11913302992553672,0.07216131143253515,0.046262756338910783,0.02623492373391648
20-1,,,,,,,,,,,,,,,,,,0.1217958550172669,0.07030619984557226,0.03733851850810967,0.028647934569902833
20-2,,,,,,,,,,,,,,,,,,0.12191962198536721,0.07054114247135297,0.037408892777785946,0.028462883008835503
20-3,,,,,,,,,,,,,,,,,,0.12217947055964884,0.07076043904446867,0.037603214561632146,0.028223038909101113
20-4,,,,,,,,,,,,,,,,,,0.12239825122653772,0.07097476408573877,0.03778341809985121,0.027965501035003296
20-5,,,,,,,,,,,,,,,,,,0.1225419447780887,0.07116626629477434,0.03801086617181803,0.027739270133742572
20-6,,,,,,,,,,,,,,,,,,0.12268680087910816,0.0714065867322648,0.038222696599558556,0.027514332841753326
20-7,,,,,,,,,,,,,,,,,,0.12247493389082809,0.07155480475252418,0.03846804210283325,0.027312081686818233
20-8,,,,,,,,,,,,,,,,,,0.12238926686557977,0.0716981988035293,0.03874117965480133,0.02711314457006245
20-9,,,,,,,,,,,,,,,,,,0.1222821121691402,0.07178137845978258,0.03904116993035505,0.026895681329646638
20-10,,,,,,,,,,,,,,,,,,0.12213359557985456,0.07186799802317145,0.03939515850238094,0.026696285008448596
20-11,,,,,,,,,,,,,,,,,,0.12222193200792682,0.07205012606667613,0.03990325809850841,0.026608849609069077
20-12,,,,,,,,,,,,,,,,,,0.12208577300420205,0.07222654166164182,0.04052822612091286,0.026517100604547726
20-13,,,,,,,,,,,,,,,,,,0.12198185688573147,0.07230567293010653,0.04114368269286919,0.026460301445637307
20-14,,,,,,,,,,,,,,,,,,0.12172729944137023,0.07225778124179773,0.04173704849419751,0.026403323471254982
20-15,,,,,,,,,,,,,,,,,,0.12146432909312187,0.07204555826002003,0.042232411388760396,0.02635530428873321
20-16,,,,,,,,,,,,,,,,,,0.12111217280999656,0.07191540647124028,0.04267487701314456,0.026320028378217952
20-17,,,,,,,,,,,,,,,,,,0.12087654423876615,0.07185275040354522,0.04298710734892851,0.02628719751531922
20-18,,,,,,,,,,,,,,,,,,0.12046967375615887,0.07178547369363968,0.043597969054821585,0.02625713863973052
20-19,,,,,,,,,,,,,,,,,,0.12011575120604884,0.07177818533030943,0.04409433620176973,0.026261167757749126
20-20,,,,,,,,,,,,,,,,,,0.11969770591352791,0.07185217186313693,0.04458107625160569,0.026249318970002183
20-21,,,,,,,,,,,,,,,,,,0.11954281715023649,0.07188314154221861,0.045011115031616485,0.026241226612921845
20-22,,,,,,,,,,,,,,,,,,0.119392374081815,0.07198442951948576,0.0454440418186613,0.02623055820614469
20-23,,,,,,,,,,,,,,,,,,0.11924111676220052,0.07209142091336378,0.045768345972319685,0.026226717290461134
20-24,,,,,,,,,,,,,,,,,,0.11920415542295347,0.07221006758926905,0.04610280081949336,0.026241459328258443
20-25,,,,,,,,,,,,,,,,,,0.11917746373782126,0.07226908006140113,0.04635953170080442,0.026237248200180297
21-1,,,,,,,,,,,,,,,,,,0.1219052325474049,0.07042378815285764,0.03745533083969933,0.02854677432326255
21-2,,,,,,,,,,,,,,,,,,0.12204680787293297,0.07064565890121173,0.037632142484382694,0.028366568788040548
21-3,,,,,,,,,,,,,,,,,,0.12226942166420605,0.07084541800332636,0.037810414346351434,0.028115992801153455
21-4,,,,,,,,,,,,,,,,,,0.12248308698765563,0.07107841399782595,0.03801757901644158,0.02788464588353441
21-5,,,,,,,,,,,,,,,,,,0.12262050767277466,0.07128901336027,0.03823558419849568,0.027661639415044372
21-6,,,,,,,,,,,,,,,,,,0.12269086168482543,0.07146145534590893,0.038467990904021164,0.027443621971075728
21-7,,,,,,,,,,,,,,,,,,0.12247720136070905,0.0716006882128714,0.038683977150055705,0.027234783434383594
21-8,,,,,,,,,,,,,,,,,,0.12231585223288288,0.07166058454392281,0.03898116465543718,0.027042835524020276
21-9,,,,,,,,,,,,,,,,,,0.1222296370090192,0.07178226171502083,0.039298331724400094,0.02679265091789691
21-10,,,,,,,,,,,,,,,,,,0.12207266069203665,0.07186994546997279,0.03969318762690453,0.02667056256742867
21-11,,,,,,,,,,,,,,,,,,0.12217165641976313,0.0720645722584709,0.04028602673697128,0.02657950934334691
21-12,,,,,,,,,,,,,,,,,,0.12198524942946139,0.07223358619279165,0.04089545959835786,0.02650905767201999
21-13,,,,,,,,,,,,,,,,,,0.12188497752708553,0.07224754602005541,0.041457101748504276,0.026457514682906996
